building_type,period,year_start,year_end,u_wall,u_roof,u_floor,u_window
AB,NL.01,0,1964,2.7778,2.5641,3.125,5.2
AB,NL.02,1965,1974,2.3256,1.1628,5.8824,5.2
AB,NL.03,1975,1991,0.7692,0.7692,0.7692,5.2
AB,NL.04,1992,2005,0.3953,0.3953,0.3953,2.9
AB,NL.05,2006,2014,0.2857,0.25,0.2857,1.8
AB,NL.06,2015,9999,0.2222,0.1667,0.2857,1.8
MFH,NL.01,0,1964,2.7778,2.5641,3.125,5.2
MFH,NL.02,1965,1974,2.3256,1.1628,5.8824,5.2
MFH,NL.03,1975,1991,0.7692,0.7692,1.9231,5.2
MFH,NL.04,1992,2005,0.3953,0.3953,0.3953,2.9
MFH,NL.05,2006,2014,0.2857,0.25,0.2857,1.8
MFH,NL.06,2015,9999,0.2222,0.1667,0.2857,1.8
SFH,NL.01,0,1964,2.7778,2.5641,3.125,5.2
SFH,NL.02,1965,1974,2.3256,1.1628,5.8824,5.2
SFH,NL.03,1975,1991,0.7692,0.7692,0.7692,5.2
SFH,NL.04,1992,2005,0.3953,0.3953,0.3953,2.9
SFH,NL.05,2006,2014,0.2857,0.25,0.2857,1.8
SFH,NL.06,2015,9999,0.2222,0.1667,0.2857,1.8
TH,NL.01,0,1964,5.2632,4.5455,6.6667,5.2
TH,NL.02,1965,1974,2.3256,1.1628,5.8824,5.2
TH,NL.03,1975,1991,0.7692,0.7692,1.9231,5.2
TH,NL.04,1992,2005,0.3953,0.3953,0.3953,2.9
TH,NL.05,2006,2014,0.2857,0.25,0.2857,1.8
TH,NL.06,2015,9999,0.2222,0.1667,0.2857,1.8
