building_type,period,year_start,year_end,u_wall,u_roof,u_floor,u_window
AB,NL.01,0,1964,1.6129,1.5385,1.7241,5.2
AB,NL.02,1965,1974,1.4493,0.8929,2.3256,5.2
AB,NL.03,1975,1991,0.641,0.641,1.2821,5.2
AB,NL.04,1992,2005,0.3584,0.3584,0.3584,2.9
AB,NL.05,2006,2014,0.266,0.2347,0.266,1.8
AB,NL.06,2015,9999,0.2101,0.1597,0.266,1.8
MFH,NL.01,0,1964,1.6129,1.5385,1.7241,5.2
MFH,NL.02,1965,1974,1.4493,0.8929,2.3256,5.2
MFH,NL.03,1975,1991,0.641,0.641,1.2821,5.2
MFH,NL.04,1992,2005,0.3584,0.3584,0.3584,2.9
MFH,NL.05,2006,2014,0.266,0.2347,0.266,1.8
MFH,NL.06,2015,9999,0.2101,0.1597,0.266,1.8
SFH,NL.01,0,1964,1.6129,1.5385,1.7241,5.2
SFH,NL.02,1965,1974,1.4493,0.8929,2.3256,5.2
SFH,NL.03,1975,1991,0.641,0.641,1.2821,5.2
SFH,NL.04,1992,2005,0.3584,0.3584,0.3584,2.9
SFH,NL.05,2006,2014,0.266,0.2347,0.266,1.8
SFH,NL.06,2015,9999,0.2101,0.1597,0.266,1.8
TH,NL.01,0,1964,2.2222,2.0833,2.439,5.2
TH,NL.02,1965,1974,1.4493,0.8929,2.3256,5.2
TH,NL.03,1975,1991,0.641,0.641,1.2821,5.2
TH,NL.04,1992,2005,0.3584,0.3584,0.3584,2.9
TH,NL.05,2006,2014,0.266,0.2347,0.266,1.8
TH,NL.06,2015,9999,0.2101,0.1597,0.266,1.8
