building_type,period,src_wall,src_roof,src_floor
AB,NL.01,"NL.Wall.ReEx.01.02 (cavity walls, not afterwards insulated)","NL.Roof.ReEx.01.12 (flat roof, not afterwards insulated, with cavity walls)",NL.Floor.ReEx.01.02 (not afterwards insulated; with cavity walls)
AB,NL.02,NL.Wall.ReEx.02.01 (n/a),NL.Roof.ReEx.02.11 (flat roof),NL.Floor.ReEx.02.01 (n/a)
AB,NL.03,NL.Wall.ReEx.03.01 (norms of building period 1975-1982 apply),"NL.Roof.ReEx.03.11 (flat roof, norms of building period 1975-1982 apply)",NL.Floor.ReEx.03.01 (norms of building period 1975-1982 apply)
AB,NL.04,NL.Wall.ReEx.04.01 (n/a),NL.Roof.ReEx.04.11 (flat roof),NL.Floor.ReEx.04.01 (n/a)
AB,NL.05,NL.Wall.ReEx.05.01 (n/a),NL.Roof.ReEx.05.11 (flat roof),NL.Floor.ReEx.05.01 (n/a)
AB,NL.06,NL.Wall.ReEx.06.01 (n/a),NL.Roof.ReEx.06.11 (flat roof),NL.Floor.ReEx.06.01 (n/a)
MFH,NL.01,"NL.Wall.ReEx.01.02 (cavity walls, not afterwards insulated)","NL.Roof.ReEx.01.12 (flat roof, not afterwards insulated, with cavity walls)",NL.Floor.ReEx.01.02 (not afterwards insulated; with cavity walls)
MFH,NL.02,NL.Wall.ReEx.02.01 (n/a),NL.Roof.ReEx.02.11 (flat roof),NL.Floor.ReEx.02.01 (n/a)
MFH,NL.03,NL.Wall.ReEx.03.01 (norms of building period 1975-1982 apply),"NL.Roof.ReEx.03.11 (flat roof, norms of building period 1975-1982 apply)",NL.Floor.ReEx.03.01 (norms of building period 1975-1982 apply)
MFH,NL.04,NL.Wall.ReEx.04.01 (n/a),NL.Roof.ReEx.04.11 (flat roof),NL.Floor.ReEx.04.01 (n/a)
MFH,NL.05,NL.Wall.ReEx.05.01 (n/a),NL.Roof.ReEx.05.11 (flat roof),NL.Floor.ReEx.05.01 (n/a)
MFH,NL.06,NL.Wall.ReEx.06.01 (n/a),NL.Roof.ReEx.06.11 (flat roof),NL.Floor.ReEx.06.01 (n/a)
SFH,NL.01,"NL.Wall.ReEx.01.02 (cavity walls, not afterwards insulated)","NL.Roof.ReEx.01.02 (pitched roof, not afterwards insulated, with cavity walls)",NL.Floor.ReEx.01.02 (not afterwards insulated; with cavity walls)
SFH,NL.02,NL.Wall.ReEx.02.01 (n/a),NL.Roof.ReEx.02.01 (pitched roof),NL.Floor.ReEx.02.01 (n/a)
SFH,NL.03,NL.Wall.ReEx.03.01 (norms of building period 1975-1982 apply),"NL.Roof.ReEx.03.01 (pitched roof, norms of building period 1975-1982 apply)",NL.Floor.ReEx.03.01 (norms of building period 1975-1982 apply)
SFH,NL.04,NL.Wall.ReEx.04.01 (n/a),NL.Roof.ReEx.04.01 (pitched roof),NL.Floor.ReEx.04.01 (n/a)
SFH,NL.05,NL.Wall.ReEx.05.01 (n/a),NL.Roof.ReEx.05.01 (pitched roof),NL.Floor.ReEx.05.01 (n/a)
SFH,NL.06,NL.Wall.ReEx.06.01 (n/a),NL.Roof.ReEx.06.01 (pitched roof),NL.Floor.ReEx.06.01 (n/a)
TH,NL.01,"NL.Wall.ReEx.01.01 (solid walls, not afterwards insulated)","NL.Roof.ReEx.01.01 (pitched roof, not afterwards insulated, with solid walls)",NL.Floor.ReEx.01.01 (not afterwards insulated; with solid walls)
TH,NL.02,NL.Wall.ReEx.02.01 (n/a),NL.Roof.ReEx.02.01 (pitched roof),NL.Floor.ReEx.02.01 (n/a)
TH,NL.03,NL.Wall.ReEx.03.01 (norms of building period 1975-1982 apply),"NL.Roof.ReEx.03.01 (pitched roof, norms of building period 1975-1982 apply)",NL.Floor.ReEx.03.01 (norms of building period 1975-1982 apply)
TH,NL.04,NL.Wall.ReEx.04.01 (n/a),NL.Roof.ReEx.04.01 (pitched roof),NL.Floor.ReEx.04.01 (n/a)
TH,NL.05,NL.Wall.ReEx.05.01 (n/a),NL.Roof.ReEx.05.01 (pitched roof),NL.Floor.ReEx.05.01 (n/a)
TH,NL.06,NL.Wall.ReEx.06.01 (n/a),NL.Roof.ReEx.06.01 (pitched roof),NL.Floor.ReEx.06.01 (n/a)
